<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.04.01	04:01:30	4710.39	4710.39	4707.12	4707.12	9	17	6140
2026.04.01	04:01:34	4707.12	4708.14	4704.87	4704.87	9	9	3858
2026.04.01	04:01:37	4704.87	4706.75	4703.48	4706.75	13	3	3427
2026.04.01	04:01:45	4706.75	4707.57	4704.30	4707.57	15	15	7098
2026.04.01	04:01:53	4707.57	4708.71	4705.44	4705.44	8	22	7897
2026.04.01	04:01:58	4705.44	4705.44	4702.17	4702.17	8	16	5239
2026.04.01	04:02:15	4702.17	4704.73	4701.46	4704.73	34	39	16675
2026.04.01	04:02:39	4704.73	4706.62	4703.35	4706.62	45	55	24001
2026.04.01	04:02:48	4706.62	4709.89	4706.62	4709.89	21	18	8687
2026.04.01	04:02:59	4709.89	4711.75	4708.48	4708.48	23	22	10672
2026.04.01	04:03:04	4708.48	4711.02	4707.75	4707.75	6	13	4106
2026.04.01	04:03:30	4707.75	4710.66	4707.39	4710.66	57	53	26321
2026.04.01	04:04:00	4710.66	4711.35	4708.08	4708.08	37	71	29023
2026.04.01	04:04:14	4708.08	4708.49	4705.22	4705.22	20	34	14328
2026.04.01	04:04:30	4705.22	4707.99	4704.72	4707.99	33	28	15301
2026.04.01	04:04:46	4707.99	4708.64	4705.37	4705.37	22	36	15927
2026.04.01	04:05:43	4705.37	4705.52	4702.25	4702.25	93	128	56580
2026.04.01	04:05:50	4702.25	4702.25	4698.98	4698.98	15	19	7507
2026.04.01	04:06:02	4698.98	4700.17	4696.90	4696.90	25	25	11523
2026.04.01	04:06:16	4696.90	4698.90	4695.63	4695.63	28	29	14012
2026.04.01	04:06:18	4695.63	4695.63	4692.36	4692.36	2	3	926
2026.04.01	04:06:29	4692.36	4693.28	4690.01	4690.01	17	26	11664
2026.04.01	04:06:56	4690.01	4693.15	4689.88	4689.88	59	51	26205
2026.04.01	04:07:01	4689.88	4692.83	4689.56	4692.83	17	6	5249
2026.04.01	04:07:13	4692.83	4696.10	4692.83	4696.10	28	18	10957
2026.04.01	04:07:41	4696.10	4698.79	4695.52	4698.79	63	46	28436
2026.04.01	04:08:31	4698.79	4700.97	4697.70	4700.97	104	83	49714
2026.04.01	04:08:56	4700.97	4703.73	4700.46	4703.73	50	43	24132
2026.04.01	04:09:12	4703.73	4704.30	4701.03	4704.30	30	33	15549
2026.04.01	04:10:10	4704.30	4707.29	4704.02	4704.02	121	102	58224
2026.04.01	04:10:15	4704.02	4707.27	4704.00	4707.27	13	6	4371
2026.04.01	04:11:35	4707.27	4710.12	4706.85	4706.85	160	142	80091
2026.04.01	04:11:50	4706.85	4707.25	4703.98	4703.98	28	30	14699
2026.04.01	04:13:08	4703.98	4704.93	4701.66	4704.93	145	133	77153
2026.04.01	04:13:13	4704.93	4708.15	4704.88	4708.15	16	8	5706
2026.04.01	04:13:44	4708.15	4709.41	4706.14	4709.41	56	65	30518
2026.04.01	04:13:59	4709.41	4709.96	4706.69	4706.69	27	32	14766
2026.04.01	04:15:04	4706.69	4709.20	4705.93	4705.93	104	133	64613
2026.04.01	04:15:22	4705.93	4706.00	4702.73	4702.73	22	35	17271
2026.04.01	04:15:55	4702.73	4704.51	4701.24	4701.24	54	60	32437
2026.04.01	04:16:08	4701.24	4704.32	4701.05	4704.32	27	21	13495
2026.04.01	04:16:21	4704.32	4705.32	4702.05	4702.05	22	27	12682
2026.04.01	04:16:37	4702.05	4704.86	4701.59	4704.86	37	22	15155
2026.04.01	04:16:49	4704.86	4705.79	4702.52	4702.52	21	24	11748
2026.04.01	04:17:05	4702.52	4703.61	4700.34	4700.34	25	36	15885
2026.04.01	04:17:12	4700.34	4702.18	4698.91	4702.18	17	12	6705
2026.04.01	04:17:30	4702.18	4702.47	4699.20	4699.20	22	52	18075
2026.04.01	04:18:13	4699.20	4700.94	4697.67	4700.94	66	109	43317
2026.04.01	04:19:13	4700.94	4701.37	4698.10	4698.10	83	144	59131
2026.04.01	04:19:23	4698.10	4699.69	4696.42	4699.69	22	23	10472
2026.04.01	04:19:49	4699.69	4700.48	4697.21	4697.21	39	64	25794
2026.04.01	04:20:35	4697.21	4700.09	4696.82	4700.09	71	105	45025
2026.04.01	04:21:06	4700.09	4701.18	4697.91	4697.91	37	79	31358
2026.04.01	04:21:23	4697.91	4697.91	4694.64	4694.64	24	47	16412
2026.04.01	04:22:20	4694.64	4697.05	4693.78	4693.78	97	114	56610
2026.04.01	04:23:16	4693.78	4696.80	4693.53	4693.53	92	117	56488
2026.04.01	04:23:56	4693.53	4695.62	4692.35	4695.62	67	69	39543
2026.04.01	04:25:11	4695.62	4696.70	4693.43	4693.43	126	136	74644
2026.04.01	04:25:32	4693.43	4696.60	4693.33	4696.60	45	35	20668
2026.04.01	04:26:12	4696.60	4699.50	4696.23	4699.50	78	70	40198
2026.04.01	04:26:47	4699.50	4702.77	4699.50	4702.77	66	58	34310
2026.04.01	04:28:15	4702.77	4704.32	4701.05	4701.05	134	142	88008
2026.04.01	04:28:44	4701.05	4703.39	4700.12	4703.39	47	68	28699
2026.04.01	04:29:37	4703.39	4705.89	4702.62	4705.89	75	88	52352
2026.04.01	04:30:22	4705.89	4708.37	4705.10	4705.10	77	87	44633
2026.04.01	04:30:52	4705.10	4706.66	4703.39	4706.66	59	49	30592
2026.04.01	04:31:12	4706.66	4706.85	4703.58	4703.58	27	46	18993
2026.04.01	04:31:53	4703.58	4704.66	4701.39	4701.39	68	79	40875
2026.04.01	04:32:49	4701.39	4701.40	4698.13	4698.13	86	107	56248
2026.04.01	04:34:07	4698.13	4699.18	4695.91	4695.91	121	137	77014
2026.04.01	04:34:34	4695.91	4696.17	4692.90	4692.90	36	65	27620
2026.04.01	04:35:03	4692.90	4693.59	4690.32	4693.59	53	51	28767
2026.04.01	04:35:37	4693.59	4696.39	4693.12	4696.39	65	58	33231
2026.04.01	04:36:06	4696.39	4697.69	4694.42	4697.69	60	48	28870
2026.04.01	04:36:16	4697.69	4698.67	4695.40	4695.40	19	16	9798
2026.04.01	04:36:48	4695.40	4697.18	4693.91	4693.91	58	57	31604
2026.04.01	04:37:40	4693.91	4696.28	4693.01	4696.28	93	71	52039
2026.04.01	04:38:54	4696.28	4697.95	4694.68	4694.68	123	116	73233
2026.04.01	04:39:14	4694.68	4695.65	4692.38	4692.38	30	31	19611
2026.04.01	04:39:48	4692.38	4693.35	4690.08	4690.08	49	55	33543
2026.04.01	04:39:55	4690.08	4690.08	4686.81	4686.81	10	18	6765
2026.04.01	04:40:34	4686.81	4687.81	4684.54	4684.54	72	86	39118
2026.04.01	04:41:33	4684.54	4684.70	4681.43	4684.70	114	112	58603
2026.04.01	04:42:31	4684.70	4686.16	4682.89	4686.16	121	85	58256
2026.04.01	04:43:04	4686.16	4686.52	4683.25	4683.25	50	64	32838
2026.04.01	04:43:34	4683.25	4686.50	4683.23	4686.50	52	42	29876
2026.04.01	04:45:20	4686.50	4689.34	4686.07	4689.34	153	211	104969
2026.04.01	04:46:06	4689.34	4690.05	4686.78	4690.05	70	86	46218
2026.04.01	04:47:45	4690.05	4691.90	4688.63	4691.90	162	169	98410
2026.04.01	04:48:48	4691.90	4692.87	4689.60	4692.87	93	104	63220
2026.04.01	04:49:46	4692.87	4694.02	4690.75	4690.75	88	99	57760
2026.04.01	04:50:48	4690.75	4693.94	4690.67	4693.94	81	93	60985
2026.04.01	04:51:41	4693.94	4694.88	4691.61	4691.61	62	120	51963
2026.04.01	04:52:03	4691.61	4692.27	4689.00	4689.00	28	62	21643
2026.04.01	04:52:31	4689.00	4689.96	4686.69	4686.69	46	62	28349
2026.04.01	04:52:52	4686.69	4689.10	4685.83	4689.10	39	37	20691
2026.04.01	04:52:58	4689.10	4692.07	4688.80	4692.07	17	5	4986
2026.04.01	04:53:09	4692.07	4695.34	4692.07	4695.34	29	19	11170
2026.04.01	04:53:53	4695.34	4697.07	4693.80	4693.80	70	89	43609
2026.04.01	04:55:02	4693.80	4695.54	4692.27	4695.54	106	135	68857
2026.04.01	04:55:58	4695.54	4697.01	4693.74	4693.74	80	112	56114
2026.04.01	04:56:57	4693.74	4694.02	4690.75	4690.75	85	133	58568
2026.04.01	04:57:45	4690.75	4693.31	4690.04	4693.31	82	78	47532
2026.04.01	04:58:29	4693.31	4694.82	4691.55	4691.55	61	78	44264
2026.04.01	04:58:48	4691.55	4691.55	4688.28	4688.28	30	34	18196
2026.04.01	04:59:34	4688.28	4690.35	4687.08	4690.35	78	70	45875
2026.04.01	05:00:08	4690.35	4693.62	4690.35	4693.62	58	48	33417
2026.04.01	05:00:32	4693.62	4695.10	4691.83	4691.83	36	31	23742
2026.04.01	05:00:46	4691.83	4692.55	4689.28	4689.28	24	29	13589
2026.04.01	05:01:56	4689.28	4690.63	4687.36	4687.36	125	133	69900
2026.04.01	05:02:19	4687.36	4690.63	4687.36	4690.63	41	37	22707
2026.04.01	05:03:20	4690.63	4690.63	4687.36	4687.36	101	104	61643
2026.04.01	05:04:25	4687.36	4690.12	4686.85	4690.12	98	98	64014
2026.04.01	05:04:28	4690.12	4693.39	4690.12	4693.39	9	1	2670
2026.04.01	05:05:05	4693.39	4696.36	4693.09	4696.36	77	55	37402
2026.04.01	05:05:12	4696.36	4699.33	4696.06	4699.33	16	8	6742
2026.04.01	05:06:35	4699.33	4700.44	4697.17	4697.17	141	138	82221
2026.04.01	05:07:34	4697.17	4697.92	4694.65	4694.65	83	100	59220
2026.04.01	05:08:11	4694.65	4694.95	4691.68	4691.68	52	69	36495
2026.04.01	05:08:21	4691.68	4693.18	4689.91	4693.18	20	18	9881
2026.04.01	05:09:18	4693.18	4694.85	4691.58	4694.85	96	79	56928
2026.04.01	05:10:43	4694.85	4697.18	4693.91	4693.91	140	128	84411
2026.04.01	05:11:08	4693.91	4693.91	4690.64	4690.64	34	53	24781
2026.04.01	05:14:46	4690.64	4693.41	4690.14	4693.41	331	316	217652
2026.04.01	05:16:27	4693.41	4696.00	4692.73	4696.00	111	114	100809
2026.04.01	05:18:43	4696.00	4697.66	4694.39	4694.39	144	163	136558
2026.04.01	05:20:23	4694.39	4696.84	4693.57	4693.57	111	129	99140
2026.04.01	05:20:41	4693.57	4695.30	4692.03	4692.03	15	21	17987
2026.04.01	05:22:03	4692.03	4692.78	4689.51	4689.51	91	133	81901
2026.04.01	05:22:40	4689.51	4689.51	4686.24	4686.24	40	58	36344
2026.04.01	05:23:06	4686.24	4687.06	4683.79	4687.06	40	46	25416
2026.04.01	05:25:43	4687.06	4687.86	4684.59	4684.59	167	170	156807
2026.04.01	05:27:15	4684.59	4686.44	4683.17	4686.44	138	118	92219
2026.04.01	05:30:12	4686.44	4688.14	4684.87	4684.87	202	207	176143
2026.04.01	05:30:40	4684.87	4687.14	4683.87	4687.14	52	46	28224
2026.04.01	05:30:57	4687.14	4688.03	4684.76	4684.76	29	34	16777
2026.04.01	05:31:03	4684.76	4687.84	4684.57	4687.84	15	7	5637
2026.04.01	05:31:34	4687.84	4690.32	4687.05	4687.05	44	55	30606
2026.04.01	05:31:52	4687.05	4687.05	4683.78	4683.78	23	45	17949
2026.04.01	05:32:06	4683.78	4685.94	4682.67	4685.94	30	25	13677
2026.04.01	05:33:02	4685.94	4687.47	4684.20	4687.47	90	96	55875
2026.04.01	05:33:23	4687.47	4687.84	4684.57	4684.57	25	31	20895
2026.04.01	05:33:32	4684.57	4686.99	4683.72	4686.99	16	14	8477
2026.04.01	05:34:20	4686.99	4687.85	4684.58	4684.58	61	68	47731
2026.04.01	05:35:20	4684.58	4687.62	4684.35	4684.35	82	83	59781
2026.04.01	05:35:49	4684.35	4684.80	4681.53	4681.53	36	55	28386
2026.04.01	05:37:39	4681.53	4683.96	4680.69	4683.96	169	187	109981
2026.04.01	05:38:18	4683.96	4684.16	4680.89	4680.89	43	81	38690
2026.04.01	05:39:35	4680.89	4683.23	4679.96	4679.96	108	128	77434
2026.04.01	05:40:14	4679.96	4681.82	4678.55	4681.82	59	70	38725
2026.04.01	05:41:05	4681.82	4682.73	4679.46	4679.46	58	91	50231
2026.04.01	05:43:09	4679.46	4681.18	4677.91	4681.18	187	154	123587
2026.04.01	05:45:24	4681.18	4682.57	4679.30	4682.57	200	164	135679
2026.04.01	05:48:28	4682.57	4683.69	4680.42	4680.42	219	256	183105
2026.04.01	05:51:03	4680.42	4681.64	4678.37	4681.64	234	221	154951
2026.04.01	05:52:31	4681.64	4684.85	4681.58	4684.85	132	107	87539
2026.04.01	05:55:46	4684.85	4688.12	4684.85	4688.12	254	303	195089
2026.04.01	05:58:51	4688.12	4689.73	4686.46	4686.46	224	298	184336
2026.04.01	06:00:33	4686.46	4686.72	4683.45	4686.72	125	185	102292
2026.04.01	06:01:48	4686.72	4688.14	4684.87	4688.14	100	101	74502
2026.04.01	06:02:59	4688.14	4690.21	4686.94	4686.94	87	116	71033
2026.04.01	06:03:16	4686.94	4687.09	4683.82	4683.82	13	36	15836
2026.04.01	06:03:46	4683.82	4685.78	4682.51	4685.78	27	64	30107
2026.04.01	06:05:00	4685.78	4687.70	4684.43	4684.43	71	142	74177
2026.04.01	06:06:04	4684.43	4687.38	4684.11	4687.38	72	100	63249
2026.04.01	06:10:55	4687.38	4688.51	4685.24	4688.51	346	453	290899
2026.04.01	06:12:10	4688.51	4691.09	4687.82	4691.09	100	112	75089
2026.04.01	06:14:43	4691.09	4692.71	4689.44	4689.44	159	230	152395
2026.04.01	06:15:43	4689.44	4690.26	4686.99	4690.26	68	105	60062
2026.04.01	06:17:03	4690.26	4692.68	4689.41	4692.68	101	120	79482
2026.04.01	06:19:11	4692.68	4693.16	4689.89	4693.16	147	200	128272
2026.04.01	06:19:36	4693.16	4694.15	4690.88	4690.88	24	43	24227
2026.04.01	06:28:33	4690.88	4691.56	4688.29	4688.29	565	682	537109
2026.04.01	06:28:38	4688.29	4688.29	4685.02	4685.02	6	14	4989
2026.04.01	06:29:34	4685.02	4687.64	4684.37	4687.64	86	83	55693
2026.04.01	06:30:27	4687.64	4688.37	4685.10	4685.10	49	80	52068
2026.04.01	06:33:15	4685.10	4687.97	4684.70	4684.70	174	200	167818
2026.04.01	06:34:34	4684.70	4687.77	4684.50	4687.77	93	74	78917
2026.04.01	06:36:59	4687.77	4688.63	4685.36	4688.63	146	179	144594
2026.04.01	06:41:16	4688.63	4688.79	4685.52	4685.52	259	313	256804
2026.04.01	06:44:37	4685.52	4686.70	4683.43	4686.70	211	232	200252
2026.04.01	06:49:09	4686.70	4688.72	4685.45	4685.45	244	328	271814
2026.04.01	06:51:23	4685.45	4685.45	4682.18	4682.18	142	174	134149
2026.04.01	06:55:29	4682.18	4684.56	4681.29	4684.56	272	245	245175
2026.04.01	06:56:12	4684.56	4686.25	4682.98	4682.98	42	56	41609
2026.04.01	06:57:09	4682.98	4683.43	4680.16	4680.16	73	79	57138
2026.04.01	07:02:10	4680.16	4682.53	4679.26	4679.26	280	330	300421
2026.04.01	07:04:14	4679.26	4679.56	4676.29	4676.29	123	160	123717
2026.04.01	07:06:47	4676.29	4678.62	4675.35	4678.62	167	186	153247
2026.04.01	07:09:03	4678.62	4680.31	4677.04	4677.04	122	165	136051
2026.04.01	07:10:53	4677.04	4677.04	4673.77	4673.77	92	129	109881
2026.04.01	07:16:00	4673.77	4675.64	4672.37	4672.37	316	344	306004
2026.04.01	07:17:26	4672.37	4672.67	4669.40	4669.40	106	126	85818
2026.04.01	07:20:07	4669.40	4670.16	4666.89	4670.16	249	220	160745
2026.04.01	07:21:42	4670.16	4671.80	4668.53	4671.80	118	124	95384
2026.04.01	07:25:41	4671.80	4673.01	4669.74	4673.01	266	343	238541
2026.04.01	07:30:57	4673.01	4674.49	4671.22	4674.49	303	327	315974
2026.04.01	07:34:31	4674.49	4674.72	4671.45	4671.45	195	266	213781
2026.04.01	07:35:51	4671.45	4672.57	4669.30	4669.30	88	89	79560
2026.04.01	07:36:06	4669.30	4672.22	4668.95	4672.22	18	26	13984
2026.04.01	07:38:18	4672.22	4674.48	4671.21	4674.48	140	138	132573
2026.04.01	07:44:33	4674.48	4676.87	4673.60	4676.87	354	373	374702
2026.04.01	07:50:48	4676.87	4679.28	4676.01	4679.28	330	337	373461
2026.04.01	07:54:26	4679.28	4681.67	4678.40	4678.40	206	220	217987
2026.04.01	07:55:41	4678.40	4678.40	4675.13	4675.13	70	114	74495
2026.04.01	07:58:37	4675.13	4676.24	4672.97	4676.24	190	214	175683
2026.04.01	08:00:03	4676.24	4678.33	4675.06	4678.33	72	85	85760
2026.04.01	08:01:25	4678.33	4678.39	4675.12	4675.12	65	103	81967
2026.04.01	08:02:21	4675.12	4678.02	4674.75	4678.02	71	57	55742
2026.04.01	08:04:15	4678.02	4678.64	4675.37	4675.37	100	135	113102
2026.04.01	08:05:40	4675.37	4678.09	4674.82	4678.09	74	117	84715
2026.04.01	08:12:16	4678.09	4681.20	4677.93	4681.20	413	463	396139
2026.04.01	08:13:05	4681.20	4683.56	4680.29	4683.56	57	54	48209
2026.04.01	08:18:01	4683.56	4685.40	4682.13	4685.40	328	364	295453
2026.04.01	08:20:18	4685.40	4688.30	4685.03	4685.03	186	225	137614
2026.04.01	08:20:55	4685.03	4685.19	4681.92	4681.92	57	68	36020
2026.04.01	08:23:35	4681.92	4683.63	4680.36	4683.63	187	218	159613
2026.04.01	08:26:32	4683.63	4685.39	4682.12	4685.39	247	248	177327
2026.04.01	08:26:52	4685.39	4688.66	4685.39	4688.66	31	39	20102
2026.04.01	08:27:26	4688.66	4690.02	4686.75	4686.75	47	59	33851
2026.04.01	08:30:00	4686.75	4687.10	4683.83	4687.10	173	185	153329
2026.04.01	08:30:29	4687.10	4690.37	4687.10	4690.37	53	48	29108
2026.04.01	08:32:04	4690.37	4692.95	4689.68	4692.95	155	149	94019
2026.04.01	08:33:17	4692.95	4695.04	4691.77	4695.04	117	120	73492
2026.04.01	08:34:14	4695.04	4695.05	4691.78	4691.78	77	103	56336
2026.04.01	08:37:27	4691.78	4695.04	4691.77	4695.04	243	325	192897
2026.04.01	08:37:47	4695.04	4698.31	4695.04	4698.31	36	30	19208
2026.04.01	08:39:33	4698.31	4699.50	4696.23	4699.50	174	176	106172
2026.04.01	08:41:24	4699.50	4702.30	4699.03	4702.30	183	168	110542
2026.04.01	08:42:39	4702.30	4703.54	4700.27	4700.27	105	114	74652
2026.04.01	08:44:14	4700.27	4702.75	4699.48	4702.75	159	112	95047
2026.04.01	08:46:25	4702.75	4703.35	4700.08	4700.08	158	186	131042
2026.04.01	08:46:51	4700.08	4700.56	4697.29	4697.29	39	58	25776
2026.04.01	08:47:57	4697.29	4699.10	4695.83	4699.10	103	119	65210
2026.04.01	08:48:50	4699.10	4699.62	4696.35	4696.35	65	77	53145
2026.04.01	08:49:39	4696.35	4698.94	4695.67	4698.94	76	53	48482
2026.04.01	08:50:36	4698.94	4699.81	4696.54	4696.54	92	96	56744
2026.04.01	08:53:59	4696.54	4697.99	4694.72	4694.72	311	339	203065
2026.04.01	08:55:37	4694.72	4696.82	4693.55	4693.55	120	152	97872
2026.04.01	08:56:14	4693.55	4693.71	4690.44	4690.44	40	70	35868
2026.04.01	08:58:38	4690.44	4692.12	4688.85	4688.85	196	244	144089
2026.04.01	08:58:59	4688.85	4689.48	4686.21	4686.21	24	54	20865
2026.04.01	09:00:21	4686.21	4687.13	4683.86	4687.13	118	153	81813
2026.04.01	09:00:34	4687.13	4687.96	4684.69	4684.69	16	27	11950
2026.04.01	09:00:54	4684.69	4685.83	4682.56	4685.83	39	30	19772
2026.04.01	09:01:31	4685.83	4688.35	4685.08	4688.35	68	61	37454
2026.04.01	09:02:31	4688.35	4689.56	4686.29	4686.29	90	108	59024
2026.04.01	09:05:52	4686.29	4688.21	4684.94	4684.94	231	325	201456
2026.04.01	09:06:43	4684.94	4687.60	4684.33	4684.33	71	86	50597
2026.04.01	09:08:40	4684.33	4687.10	4683.83	4687.10	137	183	116530
2026.04.01	09:09:34	4687.10	4687.36	4684.09	4684.09	45	105	53570
2026.04.01	09:10:01	4684.09	4687.32	4684.05	4687.32	47	46	26589
2026.04.01	09:10:40	4687.32	4690.59	4687.32	4690.59	63	58	38995
2026.04.01	09:11:43	4690.59	4692.41	4689.14	4692.41	86	105	62451
2026.04.01	09:13:07	4692.41	4693.83	4690.56	4693.83	129	131	83883
2026.04.01	09:14:18	4693.83	4696.52	4693.25	4696.52	128	101	70082
2026.04.01	09:16:27	4696.52	4698.88	4695.61	4698.88	231	196	128449
2026.04.01	09:16:34	4698.88	4699.29	4696.02	4696.02	9	19	6950
2026.04.01	09:17:40	4696.02	4696.11	4692.84	4696.11	119	108	65310
2026.04.01	09:18:24	4696.11	4698.66	4695.39	4695.39	61	68	43728
2026.04.01	09:20:18	4695.39	4697.46	4694.19	4697.46	169	156	113994
2026.04.01	09:21:01	4697.46	4699.53	4696.26	4699.53	57	68	42755
2026.04.01	09:22:05	4699.53	4700.81	4697.54	4700.81	109	103	63839
2026.04.01	09:23:06	4700.81	4703.42	4700.15	4703.42	105	90	60247
2026.04.01	09:24:46	4703.42	4705.81	4702.54	4705.81	125	130	99725
2026.04.01	09:24:55	4705.81	4708.71	4705.44	4708.71	18	18	9316
2026.04.01	09:25:19	4708.71	4710.47	4707.20	4707.20	37	47	22862
2026.04.01	09:25:50	4707.20	4708.27	4705.00	4708.27	65	48	31436
2026.04.01	09:27:34	4708.27	4710.67	4707.40	4710.67	171	164	103669
2026.04.01	09:27:58	4710.67	4711.43	4708.16	4708.16	29	38	23755
2026.04.01	09:28:57	4708.16	4709.29	4706.02	4706.02	80	98	58886
2026.04.01	09:29:33	4706.02	4708.61	4705.34	4708.61	54	54	35068
2026.04.01	09:30:16	4708.61	4711.73	4708.46	4711.73	70	62	43360
2026.04.01	09:30:41	4711.73	4712.48	4709.21	4709.21	36	59	24310
2026.04.01	09:33:01	4709.21	4711.60	4708.33	4711.60	201	277	140066
2026.04.01	09:34:00	4711.60	4712.75	4709.48	4709.48	82	114	58868
2026.04.01	09:35:22	4709.48	4710.35	4707.08	4707.08	139	144	82197
2026.04.01	09:35:34	4707.08	4707.08	4703.81	4703.81	22	21	11054
2026.04.01	09:36:33	4703.81	4706.80	4703.53	4706.80	118	91	59049
2026.04.01	09:37:39	4706.80	4706.86	4703.59	4703.59	108	108	65920
2026.04.01	09:39:10	4703.59	4705.92	4702.65	4702.65	119	144	90699
2026.04.01	09:41:11	4702.65	4705.50	4702.23	4705.50	193	177	120690
2026.04.01	09:41:59	4705.50	4707.68	4704.41	4707.68	85	60	48059
2026.04.01	09:45:06	4707.68	4710.09	4706.82	4710.09	262	256	186636
2026.04.01	09:45:17	4710.09	4713.36	4710.09	4713.36	25	16	10466
2026.04.01	09:45:50	4713.36	4715.56	4712.29	4715.56	60	55	32352
2026.04.01	09:46:54	4715.56	4718.41	4715.14	4718.41	128	104	64142
2026.04.01	09:47:20	4718.41	4720.88	4717.61	4720.88	55	31	25156
2026.04.01	09:48:11	4720.88	4722.44	4719.17	4722.44	86	79	51100
2026.04.01	09:48:29	4722.44	4725.71	4722.44	4725.71	36	42	18192
2026.04.01	09:49:57	4725.71	4727.51	4724.24	4724.24	152	165	87832
2026.04.01	09:50:13	4724.24	4725.16	4721.89	4721.89	23	39	15313
2026.04.01	09:52:34	4721.89	4723.60	4720.33	4723.60	269	208	141290
2026.04.01	09:54:44	4723.60	4726.57	4723.30	4726.57	209	184	129416
2026.04.01	09:57:53	4726.57	4729.68	4726.41	4729.68	305	315	188686
2026.04.01	09:58:09	4729.68	4732.95	4729.68	4732.95	34	28	15531
2026.04.01	09:58:42	4732.95	4733.21	4729.94	4729.94	43	70	33035
2026.04.01	09:59:23	4729.94	4732.67	4729.40	4732.67	73	70	40642
2026.04.01	10:00:16	4732.67	4732.70	4729.43	4729.43	91	107	52358
2026.04.01	10:00:30	4729.43	4729.96	4726.69	4726.69	19	31	13742
2026.04.01	10:01:20	4726.69	4728.92	4725.65	4728.92	103	94	49867
2026.04.01	10:01:52	4728.92	4729.30	4726.03	4726.03	48	64	32527
2026.04.01	10:02:44	4726.03	4728.47	4725.20	4728.47	102	89	51075
2026.04.01	10:03:11	4728.47	4728.98	4725.71	4725.71	34	58	26892
2026.04.01	10:03:57	4725.71	4726.31	4723.04	4723.04	66	96	45386
2026.04.01	10:04:32	4723.04	4723.59	4720.32	4723.59	64	72	35309
2026.04.01	10:05:50	4723.59	4724.36	4721.09	4721.09	127	147	77598
2026.04.01	10:06:14	4721.09	4721.19	4717.92	4717.92	29	54	23750
2026.04.01	10:07:12	4717.92	4718.98	4715.71	4715.71	67	109	58097
2026.04.01	10:07:21	4715.71	4718.37	4715.10	4718.37	17	16	8516
2026.04.01	10:08:04	4718.37	4719.81	4716.54	4716.54	62	77	42413
2026.04.01	10:08:26	4716.54	4717.47	4714.20	4717.47	45	40	22151
2026.04.01	10:09:25	4717.47	4719.64	4716.37	4719.64	77	84	59137
2026.04.01	10:10:44	4719.64	4721.62	4718.35	4718.35	114	167	78912
2026.04.01	10:12:27	4718.35	4720.93	4717.66	4717.66	134	186	102832
2026.04.01	10:13:20	4717.66	4718.34	4715.07	4715.07	57	101	52675
2026.04.01	10:15:36	4715.07	4716.73	4713.46	4716.73	156	209	134999
2026.04.01	10:16:51	4716.73	4716.79	4713.52	4713.52	85	120	75566
2026.04.01	10:19:12	4713.52	4716.27	4713.00	4716.27	192	186	140246
2026.04.01	10:20:35	4716.27	4718.76	4715.49	4718.76	140	125	83062
2026.04.01	10:21:29	4718.76	4721.85	4718.58	4721.85	86	82	53122
2026.04.01	10:21:43	4721.85	4725.12	4721.85	4725.12	27	16	13915
2026.04.01	10:23:16	4725.12	4725.72	4722.45	4722.45	120	143	92443
2026.04.01	10:24:02	4722.45	4722.74	4719.47	4719.47	58	76	45852
2026.04.01	10:26:15	4719.47	4721.48	4718.21	4721.48	174	159	132835
2026.04.01	10:26:32	4721.48	4724.00	4720.73	4724.00	33	21	16752
2026.04.01	10:27:23	4724.00	4724.08	4720.81	4720.81	63	70	51004
2026.04.01	10:28:46	4720.81	4722.02	4718.75	4722.02	101	106	82879
2026.04.01	10:30:42	4722.02	4724.23	4720.96	4724.23	218	178	115383
2026.04.01	10:31:32	4724.23	4727.43	4724.16	4727.43	88	65	49630
2026.04.01	10:32:24	4727.43	4728.96	4725.69	4728.96	77	68	51553
2026.04.01	10:33:24	4728.96	4731.54	4728.27	4731.54	89	89	59863
2026.04.01	10:33:42	4731.54	4733.62	4730.35	4733.62	28	23	17987
2026.04.01	10:34:29	4733.62	4735.90	4732.63	4732.63	80	82	46750
2026.04.01	10:35:18	4732.63	4733.74	4730.47	4733.74	82	81	48713
2026.04.01	10:35:44	4733.74	4736.02	4732.75	4732.75	39	48	26205
2026.04.01	10:36:18	4732.75	4734.75	4731.48	4734.75	41	73	33703
2026.04.01	10:36:31	4734.75	4738.02	4734.75	4738.02	25	22	12540
2026.04.01	10:37:00	4738.02	4740.82	4737.55	4740.82	56	52	28592
2026.04.01	10:37:52	4740.82	4743.01	4739.74	4743.01	93	96	51209
2026.04.01	10:38:17	4743.01	4746.09	4742.82	4746.09	48	46	24828
2026.04.01	10:38:58	4746.09	4747.77	4744.50	4744.50	62	80	41710
2026.04.01	10:39:16	4744.50	4745.37	4742.10	4742.10	21	45	16935
2026.04.01	10:40:30	4742.10	4743.04	4739.77	4739.77	100	141	74307
2026.04.01	10:41:22	4739.77	4739.84	4736.57	4736.57	74	102	51142
2026.04.01	10:41:35	4736.57	4736.77	4733.50	4733.50	16	30	12833
2026.04.01	10:42:52	4733.50	4734.03	4730.76	4734.03	122	103	77292
2026.04.01	10:43:06	4734.03	4737.30	4734.03	4737.30	31	24	13935
