sinal_i;dt;lado;tipo;preco_ordem;hora;efic;res_rel;qual_rel;esf_rel;corpo_frac;range_sinal;contra;ativou;entrada;saida_i;motivo;ticks;ticks_bruto;parcial;barras;R;usd;data
15207;2026-06-18 18:39:33;long;1;4227,7;18;0,3295474591671498;0,30726015557474784;-2,2305322300541426;0,932369972905488;0,2036082474226653;388,0000000000109;2;True;4227,7;15209;alvo;388,0;388,0;False;2;1,0;3,88;2026-06-18
15328;2026-06-19 03:10:42;long;1;4188,29;3;0,33623825212119535;0,46968730057425023;-1,5145357208927983;1,396888359998237;0,32989690721641995;388,0000000000109;2;True;4188,29;15330;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-06-19
15338;2026-06-19 03:55:37;short;1;4188,43;3;0,23061403594783952;0,6335886096428818;-0,26133510840623814;2,7473982970671713;0,45876288659785963;388,0000000000109;1;True;4188,43;15340;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-06-19
15344;2026-06-19 04:15:24;long;1;4188,15;4;0,19134819710675652;0,47041999096794057;-3,212956899539139;2,458450082524086;0,3221649484536747;387,99999999991996;2;True;4188,15;15346;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-06-19
15693;2026-06-22 03:25:03;long;2;4165,36;3;0,6601271098870671;1,485478186899859;0,0;2,2502911403744514;0,984536082474124;388,0000000000109;2;True;4165,36;15697;alvo;388,0;388,0;False;4;1,0;3,88;2026-06-22
15763;2026-06-22 04:27:54;short;1;4209,18;4;0,2769612930038352;0,5030889964933732;0,4292201277786578;1,8164595891253539;0,3376288659792407;388,0000000000109;1;True;4209,18;15765;alvo;388,0;388,0;False;2;1,0;3,88;2026-06-22
15768;2026-06-22 04:34:27;long;1;4199,05;4;0,15995649457428132;0,6549497847919128;-14,941759841762588;4,0945494994438265;0,4278350515463422;388,0000000000109;5;True;4199,05;15770;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-06-22
16064;2026-06-23 03:16:19;long;2;4182,04;3;4,245205057229524;1,528825136611887;0,0;0,3601298679337809;0,9304123711339101;388,0000000000109;4;True;4182,04;16071;alvo;388,0;388,0;False;7;1,0;3,88;2026-06-23
16586;2026-06-24 03:33:30;short;1;4096,68;3;0,14608929697357695;0,323370839193405;-16,250939946880063;2,2135149247236967;0,2293814432988126;388,0000000000109;1;True;4096,68;16595;alvo;388,0;388,0;False;9;1,0;3,88;2026-06-24
16607;2026-06-24 04:05:34;short;1;4072,12;4;0,6905899349207962;0,40801941298827615;-31,700851536467972;0,5908273381294964;0,2757731958763231;388,0000000000109;1;True;4072,12;16609;alvo;388,0;388,0;False;2;1,0;3,88;2026-06-24
16649;2026-06-24 04:48:09;long;1;4089,49;4;0,5284078222923765;0,584984499258564;0,2615510313632309;1,1070700973364522;0,3994845360824395;387,99999999996544;3;True;4089,49;16651;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-06-24
17170;2026-06-24 18:11:46;short;1;3999,56;18;0,743437392306706;0,5439151049898537;-0,0;0,7316219369894982;0,3762886597938132;388,0000000000109;1;True;3999,56;17172;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-06-24
17190;2026-06-24 18:44:48;long;1;4005,02;18;0,37728657516370223;0,6536412078153265;-0,789862827123261;1,7324793693804657;0,4742268041237355;388,0000000000109;2;True;4005,02;17192;alvo;388,0;388,0;False;2;1,0;3,88;2026-06-24
17426;2026-06-25 04:00:01;long;1;3992,57;4;0,23619153485258407;0,3717786760990902;-0,08422163350318185;1,5740558878671547;0,280927835051576;388,0000000000109;3;True;3992,57;17429;alvo;388,0;388,0;False;3;1,0;3,88;2026-06-25
17431;2026-06-25 04:01:07;short;1;3997,56;4;1,726281911105743;0,6096654275092461;-1,9834125726360277;0,3531667820806478;0,42268041237108933;388,0000000000109;3;True;3997,56;17437;stop;-388,0;-388,0;False;6;-1,0;-3,88;2026-06-25
17441;2026-06-25 04:04:30;long;1;4000,5;4;0,349577155765876;0,3385470527403679;-1,0705796791443851;0,9684473002781242;0,2499999999999414;388,0000000000109;1;True;4000,5;17443;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-06-25
17444;2026-06-25 04:05:44;long;1;3994,97;4;0,5193056899674563;0,39876476906549274;-0,9220729765284221;0,7678806082222639;0,2835051546391771;387,99999999996544;2;True;3994,97;17446;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-06-25
17447;2026-06-25 04:07:44;long;2;3993,65;4;1,0575293088602962;1,3022388059702577;-2,0076916771408277;1,2313973665407778;0,8994845360825099;388,0000000000109;2;True;3993,65;17449;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-06-25
17452;2026-06-25 04:12:14;long;1;3986,07;4;0,1300716580183375;0,2661971830986987;-1,454344522724133;2,0465425531914896;0,18041237113408587;388,0000000000109;2;True;3986,07;17457;alvo;388,0;388,0;False;5;1,0;3,88;2026-06-25
17474;2026-06-25 04:37:35;long;1;3980,8;4;0,09585526515746942;0,11611889801851659;-21,094676826928346;1,2113982244768549;0,07989690721659573;388,0000000000109;5;True;3980,8;17476;alvo;388,0;388,0;False;2;1,0;3,88;2026-06-25
17478;2026-06-25 04:40:26;short;1;3984,63;4;0,3888578965220319;0,5373461679053724;-0,3452464625523559;1,381857415553158;0,37886597938138106;388,0000000000109;1;True;3984,63;17484;alvo;388,0;388,0;False;6;1,0;3,88;2026-06-25
17992;2026-06-25 18:23:19;long;1;4033,76;18;1,2844377595532344;0,3996078883635817;-2,4244592790387185;0,31111502709370453;0,2706185567010702;388,0000000000109;2;True;4033,76;17994;alvo;388,0;388,0;False;2;1,0;3,88;2026-06-25
17995;2026-06-25 18:24:30;long;1;4034,68;18;0,4372137482809392;0,3168902023185979;-0,6669644938233238;0,7247946881006465;0,21134020618551083;387,99999999996544;1;True;4034,68;17997;alvo;388,0;388,0;False;2;1,0;3,88;2026-06-25
18003;2026-06-25 18:35:12;long;1;4025,7;18;0,492302856529342;0,36063110443261304;0,0;0,7325391263723429;0,23195876288652484;387,99999999996544;6;True;4025,7;18005;alvo;388,0;388,0;False;2;1,0;3,88;2026-06-25
18009;2026-06-25 18:48:20;short;1;4033,03;18;0,8946097099975062;0,4278732227487018;-8,575045207956599;0,4782792070856179;0,2757731958762382;387,99999999996544;3;True;4033,03;18010;alvo;388,0;388,0;False;1;1,0;3,88;2026-06-25
18122;2026-06-26 03:00:13;long;1;4016,31;3;0,14641781067916074;0,16690340909083673;-1,2849524711315934;1,1399119295436348;0,12113402061850173;388,0000000000109;3;True;4016,31;18124;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-06-26
18141;2026-06-26 03:49:28;short;1;4020,13;3;0,38228072583263734;0,3938525060212382;0,23322294010674632;1,0302703730704619;0,2603092783504472;388,0000000000109;2;True;4020,13;18143;alvo;388,0;388,0;False;2;1,0;3,88;2026-06-26
18155;2026-06-26 04:07:00;long;1;4017,98;4;1,0507215125228109;0,6826372398379399;-0,15278914746813238;0,6496842709529277;0,46649484536079755;388,0000000000109;2;True;4017,98;18159;alvo;388,0;388,0;False;4;1,0;3,88;2026-06-26
18620;2026-06-29 03:05:20;short;1;4060,92;3;0,16537820786132545;0,41011047874110895;0,38629359111497297;2,479833855044546;0,270618556700953;388,0000000000109;2;True;4060,92;18622;alvo;388,0;388,0;False;2;1,0;3,88;2026-06-29
18661;2026-06-29 04:07:43;short;1;4070,79;4;0,3360965133303927;0,363588872926751;0,3577962764525477;1,0817990026850786;0,24742268041237356;388,0000000000109;5;True;4070,79;18662;alvo;388,0;388,0;False;1;1,0;3,88;2026-06-29
18684;2026-06-29 04:44:02;short;1;4062,77;4;0,4744585483355879;0,6912158543118092;0,23337992817700892;1,4568519351935194;0,4587628865979768;388,0000000000109;1;True;4062,77;18686;alvo;388,0;388,0;False;2;1,0;3,88;2026-06-29
19017;2026-06-30 03:20:20;long;1;4008,37;3;0,26932432337321555;0,2206220315611739;0,13029605051461993;0,8191686097933585;0,15463917525770418;388,0000000000109;2;True;4008,37;19019;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-06-30
19030;2026-06-30 04:00:10;long;1;3985,23;4;2,9032158317875334;0,36363636363639784;0,0;0,12525295558632443;0,23711340206186776;388,0000000000109;1;True;3985,23;19032;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-06-30
19065;2026-06-30 04:10:33;short;1;3965,63;4;1,569295199108589;0,6539885248935309;-1,0903336773305814;0,4167402826855124;0,492268041237062;388,0000000000109;1;True;3965,63;19067;alvo;388,0;388,0;False;2;1,0;3,88;2026-06-30
19069;2026-06-30 04:11:41;long;2;3960,77;4;3,831825411310772;1,4977185617813678;2,2818532818532815;0,39086294416243655;0,9613402061855446;388,0000000000109;4;True;3960,77;19075;stop;-388,0;-388,0;False;6;-1,0;-3,88;2026-06-30
19085;2026-06-30 04:18:46;short;1;3966,47;4;0,254080368418341;0,3235452296439891;0,23669980812837957;1,273397199705232;0,24226804123712065;388,0000000000109;6;True;3966,47;19087;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-06-30
19088;2026-06-30 04:22:08;short;1;3971,52;4;0,13427476047237902;0,5097885669537241;0,47106832176717817;3,7966075319016497;0,37886597938138106;388,0000000000109;2;True;3971,52;19090;alvo;388,0;388,0;False;2;1,0;3,88;2026-06-30
19103;2026-06-30 04:41:13;long;1;3970,04;4;0,4730890348167973;0,6647907140344226;-4,176994180075317;1,4052126874846325;0,48711340206180914;388,0000000000109;3;True;3970,04;19110;stop;-388,0;-388,0;False;7;-1,0;-3,88;2026-06-30
19423;2026-06-30 18:08:44;short;1;4034,49;18;0,41435488855429775;0,6053206528724415;-3,3694840721992128;1,460874891531826;0,4046391752577628;388,0000000000109;1;True;4034,49;19426;alvo;388,0;388,0;False;3;1,0;3,88;2026-06-30
19497;2026-07-01 04:00:02;short;1;3995,63;4;0,5899382624214404;0,4403455975147189;0,43190860278638504;0,7464265764137614;0,324742268041167;388,0000000000109;1;True;3995,63;19499;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-07-01
19528;2026-07-01 04:49:27;long;2;3977,96;4;3,7950041225151145;1,3134027544508153;0,0;0,34608730637698654;0,8762886597938132;388,0000000000109;2;True;3977,96;19530;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-07-01
20005;2026-07-02 04:26:16;long;1;4055,49;4;0,49555288335639;0,4913901243014638;-0,7011404014786649;0,9915997682694696;0,3582474226804115;387,99999999996544;4;True;4055,49;20007;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-07-02
20015;2026-07-02 04:42:22;long;1;4053,38;4;1,527289047797009;0,645153747223264;-5,844990008564088;0,4224175824175824;0,4587628865979768;388,0000000000109;1;True;4053,38;20017;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-07-02
20494;2026-07-02 18:54:55;long;1;4127,94;18;0,27045529750361824;0,5615196078431401;-2,4672498848323023;2,0762011801067715;0,40721649484542605;387,99999999991996;1;True;4127,94;20497;stop;-388,0;-388,0;False;3;-1,0;-3,88;2026-07-02
20796;2026-07-03 18:20:21;short;1;4170,46;18;0,23474286592155535;0,6822214540845203;0,2058165548098434;2,90625;0,492268041237062;388,0000000000109;3;True;4170,46;20798;alvo;388,0;388,0;False;2;1,0;3,88;2026-07-03
20887;2026-07-06 04:08:18;long;1;4179,93;4;0,6647496392471912;0,5659050966608704;-0,5960051769917408;0,8513056092843326;0,3556701030928016;388,0000000000109;4;True;4179,93;20889;alvo;388,0;388,0;False;2;1,0;3,88;2026-07-06
20911;2026-07-06 04:36:59;long;1;4195,6;4;0,5279246567570534;0,5123113582208004;0,1976255707762557;0,9704251386321627;0,332474226804105;388,0000000000109;1;True;4195,6;20913;alvo;388,0;388,0;False;2;1,0;3,88;2026-07-06
21133;2026-07-06 18:57:06;long;1;4148,73;18;0,23725316137038963;0,5016101065145485;0,18248378170916923;2,1142399267399266;0,34793814432982806;387,99999999991996;1;True;4148,73;21135;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-07-06
21579;2026-07-08 04:15:02;short;1;4107,7;4;0,10863120894284659;0,23570848008684703;-4,1867078704428105;2,1698044455241106;0,15463917525782137;388,0000000000109;4;True;4107,7;21587;alvo;388,0;388,0;False;8;1,0;3,88;2026-07-08
21997;2026-07-08 18:01:20;long;1;4041,11;18;0,5948627910001902;0,6571292322365948;-2,031916285153695;1,104673619157976;0,40979381443301566;388,0000000000109;3;True;4041,11;21999;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-07-08
22017;2026-07-08 18:33:34;long;1;4025,53;18;0,14693518421500001;0,3663757615677262;-1,2413468013468014;2,4934515414064076;0,229381443299047;388,0000000000109;2;True;4025,53;22019;alvo;388,0;388,0;False;2;1,0;3,88;2026-07-08
22384;2026-07-09 18:29:30;short;1;4127,01;18;0,21775950355407492;0,6464823753107322;-1,7766797354645527;2,9687906371911574;0,438144329896848;388,0000000000109;1;True;4127,01;22386;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-07-09
22458;2026-07-10 04:59:14;short;1;4117,56;4;1,6558614972841923;0,6588980367320008;-35,398484510809006;0,3979185685594303;0,3943298969072322;387,99999999991996;3;True;4117,56;22460;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-07-10
22744;2026-07-13 03:00:16;short;1;4082,36;3;0,41422404149203784;0,491492652745555;-0,38220473527990617;1,186538210035311;0,3170103092783834;387,99999999996544;5;True;4082,36;22746;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-07-13
22763;2026-07-13 03:48:13;short;1;4072,69;3;0,41103514772485616;0,6129534831960375;-0,609224474614097;1,4912434778116443;0,4175257731958364;388,0000000000109;4;True;4072,69;22765;alvo;388,0;388,0;False;2;1,0;3,88;2026-07-13
22775;2026-07-13 04:04:25;short;1;4072,36;4;0,30720584120729294;0,26554776411074765;-1,1851721437693468;0,86439685868982;0,1804123711339898;387,99999999996544;2;True;4072,36;22777;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-07-13
22789;2026-07-13 04:33:42;short;1;4085,66;4;0,6243655195908859;0,48544443006862587;-1,1192291565335526;0,7775003821266623;0,34536082474229585;388,0000000000109;5;True;4085,66;22794;alvo;388,0;388,0;False;5;1,0;3,88;2026-07-13
23077;2026-07-13 18:23:10;short;1;4016,51;18;0,06735606113002339;0,1878324921565095;0,3479401435764354;2,7886501824077827;0,13144329896902293;387,99999999996544;2;True;4016,51;23083;alvo;388,0;388,0;False;6;1,0;3,88;2026-07-13
23186;2026-07-14 03:44:56;long;1;4002,95;3;0,38488556172902066;0,3658885183420774;-4,32855851815459;0,9506423589869081;0,24742268041240256;387,99999999996544;2;True;4002,95;23188;alvo;388,0;388,0;False;2;1,0;3,88;2026-07-14
23199;2026-07-14 04:03:32;long;1;3995,85;4;0,1713695986576021;0,1646806801445371;-70,40773763967549;0,9609678813193143;0,10567010309274302;388,0000000000109;2;True;3995,85;23201;alvo;388,0;388,0;False;2;1,0;3,88;2026-07-14
23209;2026-07-14 04:20:34;short;1;4001,1;4;0,09806921121854326;0,14656144306646696;-0,3992621401570224;1,4944694797214257;0,10051546391749012;388,0000000000109;2;True;4001,1;23211;alvo;388,0;388,0;False;2;1,0;3,88;2026-07-14
23537;2026-07-14 18:21:45;long;1;4089,16;18;0,29715160836658866;0,6641791044775012;-0,2886740361973575;2,235152312075389;0,45876288659791337;387,99999999996544;5;True;4089,16;23539;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-07-14
23616;2026-07-15 03:47:02;long;1;4056,26;3;0,2558548664173931;0,5009081473794574;-1,9449007005373053;1,957782372457566;0,3685567010309925;388,0000000000109;1;True;4056,26;23618;alvo;388,0;388,0;False;2;1,0;3,88;2026-07-15
23914;2026-07-16 03:41:47;short;1;4057,5;3;0,13292373463896073;0,43846041270312625;-3,6231337767923137;3,298586320148508;0,2757731958763231;388,0000000000109;1;True;4057,5;23919;alvo;388,0;388,0;False;5;1,0;3,88;2026-07-16
24177;2026-07-16 18:02:03;short;1;3995,49;18;0,1671970149215179;0,4078426363521063;0,2936647775096796;2,4392937669583827;0,2654639175258173;388,0000000000109;1;True;3995,49;24179;alvo;388,0;388,0;False;2;1,0;3,88;2026-07-16
24182;2026-07-16 18:15:02;long;1;3993,12;18;0,45739496237055666;0,3929238985312656;-6,735035913806864;0,8590472804834696;0,2809278350514588;388,0000000000109;1;True;3993,12;24184;alvo;388,0;388,0;False;2;1,0;3,88;2026-07-16
24198;2026-07-16 18:42:49;long;1;4013,27;18;0,2173128230046921;0,26982680036455337;-3,704091004567527;1,2416515354859083;0,19072164948447445;388,0000000000109;1;True;4013,27;24200;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-07-16
24286;2026-07-17 04:00:43;short;1;3988,21;4;0,8129299105872767;0,5346839338376178;-2,465502769850596;0,6577245182814734;0,35824742268036947;388,0000000000109;3;True;3988,21;24288;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-07-17
24564;2026-07-17 18:11:10;short;2;4009,6;18;3,7684162150413507;1,3068695390178522;0,8503243359822155;0,34679543459174716;0,894329896907257;388,0000000000109;3;True;4009,6;24566;alvo;388,0;388,0;False;2;1,0;3,88;2026-07-17
24572;2026-07-17 18:27:04;long;1;4010,04;18;0,23177979355644035;0,493082457111194;0,03868348452540147;2,127374649641856;0,3479381443298637;388,0000000000109;1;True;4010,04;24574;alvo;388,0;388,0;False;2;1,0;3,88;2026-07-17
24577;2026-07-17 18:42:36;short;1;4012,27;18;0,1752526477091977;0,6424855491329464;-1,6429564751712404;3,6660533095000263;0,4407216494845331;388,0000000000109;2;True;4012,27;24579;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-07-17
24665;2026-07-20 03:33:36;long;1;4002,19;3;0,3152545438740584;0,29458225348635375;-3,957068523425849;0,9344266695297402;0,1984536082474124;388,0000000000109;1;True;4002,19;24667;alvo;388,0;388,0;False;2;1,0;3,88;2026-07-20
24677;2026-07-20 04:00:01;short;2;4007,3;4;98,12546226544275;1,194493904944524;18,73310810810811;0,012173128944995492;0,8324742268042026;387,99999999996544;4;True;4007,3;24679;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-07-20
24703;2026-07-20 04:45:02;long;1;3999,49;4;0,23196586358972043;0,2710291783664188;0,4794295025786618;1,1684011352885524;0,19072164948449682;387,99999999996544;3;True;3999,49;24705;alvo;388,0;388,0;False;2;1,0;3,88;2026-07-20
24899;2026-07-20 18:59:36;short;1;4012,7;18;0,20575711256560236;0,5212201591513553;-2,691548627245247;2,5331817338036013;0,3376288659794751;388,0000000000109;1;True;4012,7;24901;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-07-20
24965;2026-07-21 03:29:29;short;1;4014,88;3;0,5978320067935359;0,6956398640996145;-15,490266447458344;1,1636042503489732;0,48711340206180914;388,0000000000109;3;True;4014,88;24967;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-07-21
25216;2026-07-22 03:50:21;short;2;4095,57;3;6,031176647182537;1,1748922563602306;-0,0;0,19480315783970303;0,8067010309278179;387,99999999996544;2;True;4095,57;25218;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-07-22
25769;2026-07-23 18:18:56;short;1;4052,86;18;0,4398326946785343;0,4647542165200971;0,3733887381275441;1,0566613672496026;0,26804123711341654;387,99999999996544;1;True;4052,86;25771;alvo;388,0;388,0;False;2;1,0;3,88;2026-07-23
25820;2026-07-24 04:00:04;short;1;4047,04;4;0,164562150102175;0,42609444171183136;0,48599407690866686;2,5892615127310474;0,2706185567010702;388,0000000000109;1;True;4047,04;25822;alvo;388,0;388,0;False;2;1,0;3,88;2026-07-24
25987;2026-07-24 18:21:18;short;1;4078,35;18;0,43444155268965456;0,25630192930576334;-7,267195774830806;0,5899572168430534;0,167525773195895;388,0000000000109;1;True;4078,35;25989;alvo;388,0;388,0;False;2;1,0;3,88;2026-07-24
25992;2026-07-24 18:41:20;short;1;4075,92;18;0,5466681783765194;0,5367713004483967;-0,38191417223675284;0,9818960050729234;0,34278350515461076;388,0000000000109;1;True;4075,92;25994;alvo;388,0;388,0;False;2;1,0;3,88;2026-07-24
26073;2026-07-27 04:00:01;long;1;4102,82;4;0,09174194004429255;0,03778932451561753;-5,323003275384228;0,4119089316987741;0,025773195876147292;388,0000000000109;2;True;4102,82;26074;alvo;388,0;388,0;False;1;1,0;3,88;2026-07-27
26079;2026-07-27 04:05:00;long;2;4108,27;4;4,250526808388946;1,4394045126774884;0,2510029498525074;0,3386414384769068;0,9381443298969652;388,0000000000109;2;True;4108,27;26081;alvo;388,0;388,0;False;2;1,0;3,88;2026-07-27
26082;2026-07-27 04:11:38;long;1;4109,52;4;0,1413819286257047;0,29430523918003837;-1,367816091954023;2,0816326530612246;0,19587628865984455;388,0000000000109;1;True;4109,52;26084;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-07-27
26088;2026-07-27 04:30:00;long;1;4100,62;4;0,2561609357429013;0,48706843212456175;-3,7273533702947184;1,9014157280148807;0,3170103092782291;388,0000000000109;5;True;4100,62;26093;alvo;388,0;388,0;False;5;1,0;3,88;2026-07-27
26291;2026-07-28 03:28:33;long;1;4063,19;3;0,24090171484337905;0,1925192519251755;-2,9646096804533193;0,7991609858416361;0,14432989690719836;388,0000000000109;1;True;4063,19;26295;stop;-388,0;-388,0;False;4;-1,0;-3,88;2026-07-28
26312;2026-07-28 04:47:14;short;1;4046,73;4;0,07668372228399277;0,1702831565631994;-52,437538541107195;2,2205906480721906;0,12886597938143968;388,0000000000109;1;True;4046,73;26314;alvo;388,0;388,0;False;2;1,0;3,88;2026-07-28
26465;2026-07-28 18:14:09;long;2;4032,82;18;8,247603316568553;1,6405271398747279;0,0;0,19890955916600456;0,9819587628865563;388,0000000000109;2;True;4032,82;26469;alvo;388,0;388,0;False;4;1,0;3,88;2026-07-28
26470;2026-07-28 18:22:58;short;1;4037,15;18;0,17385382881615888;0,22254719489493752;0,2459203023957726;1,2800822185530885;0,15979381443295707;388,0000000000109;2;True;4037,15;26473;alvo;388,0;388,0;False;3;1,0;3,88;2026-07-28
26536;2026-07-29 03:46:36;short;1;4023,89;3;0,43974359788833095;0,5097345132743679;0,34276427466461196;1,1591630116325435;0,3711340206185603;388,0000000000109;1;True;4023,89;26539;alvo;388,0;388,0;False;3;1,0;3,88;2026-07-29
27072;2026-07-30 03:13:52;long;1;4082,75;3;0,20836588794155717;0,43122102009281077;-0,499973036263774;2,0695375061284524;0,32474226804128425;388,0000000000109;1;True;4082,75;27074;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-07-30
27819;2026-08-03 04:20:48;long;1;4051,24;4;0,11396479435151423;0,2710968997635712;-7,084248593080189;2,37877759799572;0,20103092783500381;387,99999999996544;3;True;4051,24;27821;alvo;388,0;388,0;False;2;1,0;3,88;2026-08-03
27992;2026-08-03 18:25:55;short;1;4034,71;18;0,20047357980952132;0,4773399014777802;0,16044209225837688;2,3810613943808536;0,29381443298964965;388,0000000000109;1;True;4034,71;27994;alvo;388,0;388,0;False;2;1,0;3,88;2026-08-03
28046;2026-08-04 04:10:57;long;1;4046,1;4;0,509071713730961;0,4689244510605737;-0,108924645229762;0,9211363319007648;0,324742268041167;388,0000000000109;2;True;4046,1;28048;alvo;388,0;388,0;False;2;1,0;3,88;2026-08-04
28233;2026-08-04 18:29:53;long;1;4078,44;18;0,028318005997488037;0,17724620770136945;-0,4292393262828046;6,259134478504318;0,12628865979387183;388,0000000000109;2;True;4078,44;28235;alvo;388,0;388,0;False;2;1,0;3,88;2026-08-04
28303;2026-08-05 04:13:48;short;1;4083,2;4;1,2707668013092093;0,5333889816360934;-2,8829515975255537;0,419737894542546;0,36597938144330744;388,0000000000109;3;True;4083,2;28305;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-08-05
28619;2026-08-05 18:15:26;short;2;4257,11;18;0,2788438194741317;1,1616746649016232;0,0;4,1660405709992485;0,9046391752577627;388,0000000000109;3;True;4257,11;28621;alvo;388,0;388,0;False;2;1,0;3,88;2026-08-05
28743;2026-08-06 03:09:14;short;1;4273,12;3;1,0620679271008324;0,27430506561318835;-19,42777573581385;0,25827450261300083;0,18556701030933875;388,0000000000109;2;True;4273,12;28745;alvo;388,0;388,0;False;2;1,0;3,88;2026-08-06
28769;2026-08-06 03:35:55;short;2;4287,08;3;4,073910165207768;1,36451448906959;15,247944501541623;0,3349397590361446;0,9432989690721009;388,0000000000109;6;True;4287,08;28771;alvo;388,0;388,0;False;2;1,0;3,88;2026-08-06
28780;2026-08-06 03:48:37;long;1;4292,53;3;0,2950482188412188;0,305367709213663;-0,1670957060089237;1,034975606404178;0,2190721649483068;388,0000000000109;1;True;4292,53;28782;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-08-06
28788;2026-08-06 03:59:23;long;1;4297,96;3;0,26536353865950896;0,6134480560865421;-0,9618087322552241;2,31172699604999;0,4252577319586572;388,0000000000109;1;True;4297,96;28790;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-08-06
28792;2026-08-06 04:00:43;long;1;4296,9;4;1,9709082624079486;0,49733077087333294;-3,3982615744910825;0,2523358293022331;0,35309278350519935;387,99999999991996;1;True;4296,9;28794;alvo;388,0;388,0;False;2;1,0;3,88;2026-08-06
28854;2026-08-06 04:48:00;short;2;4287,39;4;1,583072576798378;1,124859139057696;-1,8644404690916319;0,7105543710021321;0,8298969072163027;388,0000000000109;2;True;4287,39;28856;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-08-06
29161;2026-08-06 18:42:19;short;1;4249,43;18;0,17450443749500752;0,27629254504754075;-13,511832276693239;1,583298104126695;0,17783505154628362;388,0000000000109;1;True;4249,43;29166;alvo;388,0;388,0;False;5;1,0;3,88;2026-08-06
29171;2026-08-06 18:55:37;long;1;4233,19;18;1,4909674829372512;0,23719676549844107;0,0;0,15908916070466958;0,17525773195863964;387,99999999991996;8;True;4233,19;29174;alvo;388,0;388,0;False;3;1,0;3,88;2026-08-06
29255;2026-08-07 03:06:03;long;1;4251,16;3;0,46023819078783224;0,57154926602579;-1,754343411927878;1,2418553641700536;0,4226804123709721;388,0000000000109;1;True;4251,16;29257;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-08-07
29279;2026-08-07 04:09:07;short;1;4243,03;4;0,2785227851524491;0,22316684378325385;-0,22942046641141664;0,8012516593969278;0,16237113402064213;388,0000000000109;2;True;4243,03;29281;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-08-07
29294;2026-08-07 04:47:05;short;1;4255,03;4;0,3167886002814581;0,418330699612112;-0,6120601953178066;1,320535837591493;0,2680412371133851;388,0000000000109;5;True;4255,03;29297;stop;-388,0;-388,0;False;3;-1,0;-3,88;2026-08-07
29676;2026-08-07 18:00:21;long;1;4344,05;18;0,10046941068880955;0,31671554252203926;-1,3223184543637574;3,15235792019347;0,22680412371136197;388,0000000000109;2;True;4344,05;29678;alvo;388,0;388,0;False;2;1,0;3,88;2026-08-07
29684;2026-08-07 18:09:58;short;1;4349,67;18;2,4174323385391765;0,6312863949180156;-39,227743902439016;0,2611392198465807;0,40979381443301566;388,0000000000109;4;True;4349,67;29688;stop;-388,0;-388,0;False;4;-1,0;-3,88;2026-08-07
29695;2026-08-07 18:35:50;long;1;4350,83;18;0,1495962725294102;0,5082579867388781;-6,457177568898268;3,3975310891449917;0,35051546391743155;388,0000000000109;3;True;4350,83;29699;stop;-388,0;-388,0;False;4;-1,0;-3,88;2026-08-07
29804;2026-08-10 03:15:03;short;2;4343,31;3;11,01134153593398;1,366650473645615;-1,294157584420225;0,12411298561449044;0,935567010309265;387,99999999991996;2;True;4343,31;29806;alvo;388,0;388,0;False;2;1,0;3,88;2026-08-10
